# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	29585
#@/user_id	e99bcb09-d6ab-49a3-95df-5fff3ab5639a
a 	啊	c=132 d=1.22016 t=28797
jian yi 	建議	c=7 d=1 t=21877
jian zhi 	簡直	c=2 d=1.02638 t=3718
jiang 	將	c=71 d=1.06626 t=29128
jiang di 	降低	c=1 d=1 t=19848
jiang guo 	講過	c=1 d=1 t=12549
jiang hui 	將會	c=1 d=1 t=14271
jiang ji 	降級	c=4 d=1.00018 t=23226
jiang le 	降了	c=1 d=1 t=21355
jiang li 	獎勵	c=4 d=1.67033 t=26599
jiang pin 	獎品	c=85 d=1 t=26610
jiang qi 	將其	c=2 d=1 t=15342
jiang xu 	降序	c=1 d=1 t=7602
jiao 	交	c=2 d=1 t=15889
jiao 	叫	c=6 d=1 t=26447
jiao 	腳	c=1 d=1 t=24819
jiao ben 	腳本	c=8 d=1 t=29013
jiao da 	較大	c=2 d=1 t=26795
jiao dai 	膠帶	c=1 d=1 t=2850
jiao fang 	交房	c=1 d=1 t=10548
jiao fei 	繳費	c=2 d=1.89137 t=10640
jiao gei 	交給	c=2 d=1.04221 t=14199
jiao hu 	交互	c=2 d=1 t=5521
jiao hu xing 	交互性	c=1 d=1 t=1104
jiao huan 	交換	c=3 d=1 t=19734
jiao le 	交了	c=1 d=1 t=10689
jiao liu 	交流	c=1 d=1 t=5150
jiao lv 	焦慮	c=1 d=1 t=1319
jiao shang 	叫上	c=2 d=1 t=27742
jiao wo 	叫我	c=3 d=1 t=19104
jiao xiao 	較小	c=2 d=1 t=26788
jiao yan 	校驗	c=13 d=4.31768 t=27513
jiao zuo 	叫做	c=3 d=1 t=23738
jie 	借	c=2 d=1.9802 t=6381
jie 	姐	c=5 d=1 t=14080
jie 	接	c=3 d=1 t=11472
jie 	節	c=1 d=1 t=12512
jie bang 	解綁	c=1 d=1 t=11006
jie dao 	接到	c=3 d=2.70731 t=8465
jie duan 	截斷	c=1 d=1 t=26882
jie duan 	階段	c=4 d=3.17486 t=23780
jie feng 	解封	c=1 d=1 t=16929
jie gou 	結構	c=25 d=1.68432 t=29448
jie gou 	解構	c=2 d=1.0153 t=13888
jie guo 	結果	c=24 d=1.00237 t=28961
jie he 	結合	c=2 d=1.04264 t=1275
jie hun 	結婚	c=6 d=1 t=16021
jie hun zheng 	結婚證	c=1 d=1 t=6347
jie jie 	結節	c=2 d=1.9802 t=15917
jie jue 	解決	c=10 d=1.17464 t=29393
jie kou 	接口	c=90 d=1.83484 t=29303
jie ma 	階碼	c=3 d=2.69486 t=27696
jie mi 	解密	c=16 d=4.72116 t=10606
jie shao 	介紹	c=4 d=1 t=12742
jie shao xia 	介紹下	c=1 d=1 t=2108
jie shao xin 	介紹信	c=1 d=1 t=2025
jie shi 	解釋	c=6 d=1.94914 t=27665
jie shou 	接受	c=7 d=1.11183 t=18342
jie shou 	接收	c=9 d=1.06079 t=26495
jie shu 	結束	c=7 d=2.83272 t=20558
jie shu hou 	結束後	c=1 d=1 t=28033
jie tu 	截圖	c=8 d=1.00667 t=22302
jie wei 	結尾	c=1 d=1 t=25847
jie xi 	解析	c=2 d=1.956 t=22306
jie ya 	解壓	c=3 d=1.99501 t=22072
jie yi 	介意	c=2 d=1.82696 t=26562
jie yu 	介於	c=1 d=1 t=26656
jie zhe 	接着	c=1 d=1 t=14206
jie zhong 	接種	c=1 d=1 t=717
jie zhu 	藉助	c=1 d=1 t=28569
jie zou 	節奏	c=1 d=1 t=23870
jin 	今	c=1 d=1 t=6741
jin 	僅	c=1 d=1 t=9458
jin 	近	c=2 d=1 t=21112
jin 	金	c=5 d=0.1 t=23477
jin bi 	金幣	c=64 d=4.51201 t=28470
jin bi shu 	金幣數	c=6 d=4.79135 t=26373
jin bu qu 	進不去	c=1 d=1 t=9908
jin cheng 	進程	c=2 d=1 t=24447
jin e 	金額	c=2 d=1.78663 t=2313
jin jing 	進京	c=0 d=0.1 t=14809
jin jing zheng 	進京證	c=2 d=1 t=20364
jin kou 	進口	c=3 d=1.86358 t=1471
jin lai 	進來	c=3 d=1.05156 t=21740
jin liang 	儘量	c=2 d=1 t=24310
jin nian 	今年	c=5 d=1 t=19247
jin qi 	近期	c=1 d=1 t=24245
jin qu 	進去	c=6 d=1.00541 t=27329
jin ri 	今日	c=9 d=2.56562 t=28469
jin ru 	進入	c=2 d=1 t=23093
jin sheng 	晉升	c=3 d=1 t=16169
jin shu ju 	金數據	c=1 d=1 t=23478
jin si 	近似	c=1 d=1 t=27478
jin tian 	今天	c=55 d=1.33629 t=29283
jin tian shang wu 	今天上午	c=0 d=0.1 t=23348
jin tian shang wu kai hui 	今天上午開會	c=1 d=1 t=23349
jin tian you dian leng 	今天有點冷	c=1 d=1 t=1803
jin tian zen me yang 	今天怎麼樣	c=1 d=1 t=1219
jin tie 	津貼	c=2 d=1 t=16101
jin xing 	進行	c=33 d=1.03344 t=29138
jin yong 	禁用	c=1 d=1 t=28311
jin zhan 	進展	c=2 d=1 t=23273
jin zhang 	緊張	c=2 d=1.92774 t=595
jin zhi 	進制	c=2 d=1 t=29467
jing 	景	c=1 d=1 t=6675
jing 	精	c=1 d=1 t=7518
jing 	靜	c=0 d=0.1 t=9725
jing chang 	經常	c=3 d=1 t=29332
jing chang yong 	經常用	c=1 d=1 t=15630
jing dong 	京東	c=8 d=1.01165 t=28527
jing dong ka 	京東卡	c=1 d=1 t=9385
jing du 	精度	c=4 d=3.33451 t=27642
jing gao 	警告	c=1 d=1 t=22444
jing guo 	經過	c=2 d=1 t=24634
jing hao 	京浩	c=1 d=1 t=28353
jing le 	驚了	c=1 d=1 t=2995
jing li 	經歷	c=1 d=1 t=29549
jing ran 	竟然	c=0 d=0.1 t=19973
jing sui 	精髓	c=1 d=1 t=3000
jing tai 	競態	c=1 d=1 t=14718
jing xi 	精細	c=1 d=1 t=28045
jing xiang 	鏡像	c=11 d=1 t=29011
jing xiang yuan 	鏡像源	c=3 d=2.67734 t=111
jing xing 	驚醒	c=1 d=1 t=14867
jing yan 	經驗	c=3 d=1 t=28747
jing ye si 	靜夜思	c=2 d=1 t=19130
jiu 	九	c=1 d=1 t=25342
jiu 	就	c=124 d=1.47679 t=28780
jiu 	灸	c=1 d=1 t=29047
jiu 	舊	c=6 d=1.93707 t=19663
jiu bu cuo 	就不錯	c=1 d=1 t=11093
jiu bu cuo le 	就不錯了	c=1 d=1 t=7174
jiu bu zhi dao 	就不知道	c=1 d=1 t=14022
jiu cheng wei 	就稱爲	c=1 d=1 t=14275
jiu gou 	就夠	c=1 d=1 t=25164
jiu hao 	就好	c=1 d=1 t=13065
jiu hui 	就會	c=6 d=1 t=23126
jiu jie 	糾結	c=1 d=1 t=25171
jiu kan 	就看	c=1 d=1 t=2698
jiu ke yi 	就可以	c=6 d=1 t=22613
jiu ke yi le 	就可以了	c=0 d=0.1 t=7383
jiu lai 	就來	c=1 d=1 t=1697
jiu neng 	就能	c=3 d=1 t=29537
jiu neng yong 	就能用	c=1 d=1 t=5967
jiu shi 	就是	c=56 d=1.32459 t=28506
jiu shi shuo 	就是說	c=1 d=1 t=15936
jiu shi yin wei 	就是因爲	c=1 d=1 t=3748
jiu shuo 	就說	c=1 d=1 t=3817
jiu xiang 	就像	c=1 d=1 t=13543
jiu xing 	就行	c=14 d=1 t=23009
jiu zai 	就在	c=1 d=1 t=11703
ju 	局	c=0 d=0.1 t=11454
ju 	居	c=2 d=1.98511 t=4106
ju 	聚	c=0 d=0.1 t=19852
ju cu 	聚簇	c=1 d=1 t=29315
ju cu suo yin 	聚簇索引	c=2 d=1.9802 t=19857
ju ge 	舉個	c=1 d=1 t=25925
ju he 	聚合	c=1 d=1 t=28671
ju hua 	菊花	c=1 d=1 t=29107
ju jue 	拒絕	c=16 d=4.16176 t=16871
ju li 	距離	c=5 d=1.88252 t=28460
ju shuo 	據說	c=1 d=1 t=19430
ju ti 	具體	c=7 d=1 t=28773
ju tou 	舉頭	c=2 d=1 t=19135
ju wei hui 	居委會	c=3 d=2.87045 t=20322
ju xian 	侷限	c=1 d=1 t=16892
ju xian xing 	侷限性	c=1 d=1 t=16836
ju you 	具有	c=5 d=1 t=29458
ju yu wang 	局域網	c=3 d=1 t=29520
ju ze 	沮澤	c=1 d=1 t=2777
jue de 	覺得	c=5 d=1 t=27154
jue ding 	決定	c=3 d=1 t=25535
jue dui 	絕對	c=1 d=1 t=128
jue jin 	掘金	c=1 d=1 t=29227
jue se 	角色	c=2 d=1 t=16375
jue xing 	覺醒	c=1 d=1 t=14184
jue yi 	決議	c=8 d=2.73623 t=16943
jue ze 	抉擇	c=1 d=1 t=2778
jue zhe 	覺着	c=0 d=0.1 t=15863
jun 	均	c=1 d=1 t=9453
jun heng 	均衡	c=1 d=1 t=20972
ka 	卡	c=18 d=1 t=24019
ka che 	卡車	c=1 d=1 t=21085
ka hao 	卡號	c=23 d=2.42689 t=10874
ka hao ka mi 	卡號卡密	c=1 d=1 t=10605
ka mi 	卡密	c=31 d=4.74237 t=10887
ka quan 	卡券	c=53 d=1 t=17045
kai 	開	c=20 d=1 t=27545
kai che 	開車	c=4 d=1 t=20367
kai chu 	開除	c=2 d=1.00008 t=23454
kai fa 	開發	c=3 d=1 t=19385
kai fa ce shi 	開發測試	c=1 d=1 t=11991
kai fa zhe 	開發者	c=2 d=1 t=15591
kai fang 	開放	c=1 d=1 t=22096
kai gong 	開工	c=3 d=1.00117 t=1689
kai hui 	開會	c=6 d=0.1 t=23348
kai ji 	開機	c=1 d=1 t=15389
kai lai 	開來	c=1 d=1 t=4666
kai qi 	開啓	c=1 d=1 t=11964
kai shi 	開始	c=18 d=1.00004 t=28037
kai tou 	開頭	c=3 d=1.00131 t=26821
kai xiao 	開銷	c=1 d=1 t=13678
kai xin 	開心	c=1 d=1 t=132
kai yi xia 	開一下	c=1 d=1 t=1809
kai yuan 	開源	c=1 d=1 t=78
kan 	看	c=44 d=1.56544 t=28618
kan bing 	看病	c=1 d=1 t=16003
kan bu dao 	看不到	c=1 d=1 t=27355
kan cheng 	看成	c=1 d=1 t=25431
kan chu 	看出	c=4 d=1 t=18298
kan dao 	看到	c=9 d=1.00082 t=28621
kan de 	看得	c=1 d=1 t=371
kan guo 	看過	c=2 d=1 t=28866
kan hao 	看好	c=0 d=0.1 t=3734
kan kan 	看看	c=66 d=1.61413 t=29474
kan kan ba 	看看吧	c=2 d=1 t=23648
kan kan ni 	看看你	c=1 d=0.145502 t=4523
kan kan yi sheng zen me shuo 	看看醫生怎麼說	c=1 d=1 t=21259
kan le xia 	看了下	c=1 d=1 t=1286
kan shang 	看上	c=2 d=1.72615 t=5780
kan shang qu 	看上去	c=3 d=1.00258 t=29276
kan xia 	看下	c=2 d=0.1 t=25299
kan yang zi 	看樣子	c=1 d=1 t=5001
kan yi xia 	看一下	c=3 d=0.150339 t=19050
kan zhe 	看着	c=1 d=1 t=28120
kan zhong 	看中	c=2 d=1 t=26420
kao 	考	c=1 d=1 t=4880
kao 	靠	c=4 d=1.99005 t=24817
kao bei 	拷貝	c=3 d=2.52678 t=19763
kao hou 	靠後	c=1 d=1 t=24820
kao lv 	考慮	c=5 d=1 t=27446
ke 	可	c=26 d=1.00001 t=27606
ke 	科	c=1 d=1 t=11402
ke 	課	c=1 d=1 t=4895
ke bie 	可別	c=2 d=1.03652 t=21670
ke bu 	可不	c=1 d=1 t=11044
ke bu shi 	可不是	c=2 d=1 t=22800
ke cheng 	課程	c=1 d=1 t=4647
ke du xing 	可讀性	c=3 d=2.65475 t=12718
ke fou 	可否	c=1 d=1 t=19774
ke hu duan 	客戶端	c=9 d=1.00136 t=27753
ke ji 	科技	c=6 d=1.0032 t=24533
ke ji yuan 	科技園	c=1 d=1 t=6071
ke kao 	可靠	c=1 d=1 t=27893
ke long 	克隆	c=6 d=3.00502 t=21797
ke neng 	可能	c=33 d=3.59633 t=27126
ke neng shi 	可能是	c=2 d=1 t=20076
ke she de 	可捨得	c=1 d=1 t=24411
ke shi 	可是	c=2 d=1.97045 t=4250
ke shi hua 	可視化	c=1 d=1 t=2573
ke wan xing 	可玩性	c=1 d=1 t=1199
ke wei 	可爲	c=1 d=1 t=19524
ke xi 	可惜	c=1 d=1 t=7214
ke xuan 	可選	c=2 d=1.44264 t=18526
ke xuan xiang 	可選項	c=1 d=1 t=18511
ke yi 	可以	c=101 d=1.26171 t=29062
ke yi da 	可以打	c=1 d=1 t=682
ke yi dui huan 	可以兌換	c=1 d=1 t=7890
ke yi le 	可以了	c=2 d=1.00001 t=9967
ke yi shuo 	可以說	c=1 d=1 t=18253
ke yi shuo shi 	可以說是	c=1 d=1 t=18237
ke yi yong 	可以用	c=1 d=1 t=29057
ke yi yun yong 	可以運用	c=1 d=1 t=24269
ke yong 	可用	c=4 d=1.09501 t=26096
ke zhi xing 	可執行	c=1 d=1 t=23832
ken ding 	肯定	c=16 d=1 t=27517
keng 	坑	c=4 d=1 t=22690
kong 	孔	c=1 d=1 t=12171
kong 	空	c=7 d=1.00022 t=22988
kong biao 	空表	c=1 d=1 t=19647
kong jian 	空間	c=11 d=3.34248 t=25563
kong kou 	空口	c=1 d=1 t=21639
kong qi 	空氣	c=1 d=1 t=22810
kong zhi 	控制	c=8 d=1 t=24391
kong zhi qi 	控制器	c=3 d=2.865 t=23997
kong zhi quan 	控制權	c=3 d=1.32234 t=14450
kong zhi tai 	控制檯	c=3 d=2.43055 t=13235
kou 	口	c=1 d=1 t=648
kou 	釦	c=3 d=1 t=23246
kou chu 	扣除	c=5 d=2.44736 t=8817
kou zhao 	口罩	c=1 d=1 t=20996
ku 	哭	c=5 d=1 t=23405
ku 	庫	c=6 d=0.101225 t=23792
ku 	酷	c=1 d=1 t=24883
ku cun 	庫存	c=15 d=2.86268 t=8891
ku nao 	哭鬧	c=3 d=1 t=8005
ku xuan 	酷炫	c=1 d=1 t=1680
kua yue 	跨越	c=1 d=1 t=25570
kuai 	塊	c=11 d=1.98738 t=28377
kuai 	快	c=16 d=1.45655 t=29095
kuai chong 	快衝	c=1 d=1 t=17270
kuai di 	快遞	c=5 d=1.78663 t=27370
kuai jie jian 	快捷鍵	c=4 d=1 t=28474
kuai lai 	快來	c=1 d=1 t=19528
kuai le 	快了	c=1 d=1 t=11916
kuai qu 	快去	c=1 d=1 t=28481
kuai su 	快速	c=1 d=1 t=24165
kuai xia ban 	快下班	c=1 d=1 t=21808
kuang jia 	框架	c=3 d=1 t=28806
kui fa 	匱乏	c=1 d=1 t=4458
kun 	困	c=8 d=1 t=26956
kun 	坤	c=1 d=1 t=10176
kun nan 	困難	c=1 d=1 t=10974
kuo 	擴	c=1 d=1 t=11029
kuo hao 	括號	c=1 d=1 t=12958
kuo rong 	擴容	c=9 d=1.25622 t=29403
la 	拉	c=4 d=1.0098 t=11649
la dao 	拉到	c=2 d=1 t=28116
la ji 	垃圾	c=2 d=1 t=27615
la ji tong 	垃圾桶	c=1 d=1 t=9685
lai 	來	c=89 d=1.00232 t=29491
lai biao shi 	來表示	c=1 d=1 t=25420
lai dao 	來到	c=1 d=1 t=1718
lai de ji 	來得及	c=1 d=1 t=17202
lai guang ying 	來廣營	c=1 d=1 t=1744
lai hui 	來回	c=1 d=1 t=5832
lai jiang 	來講	c=1 d=1 t=14401
lai kan 	來看	c=1 d=1 t=24615
lai le 	來了	c=1 d=1 t=1692
lai shuo 	來說	c=6 d=1.00054 t=25704
lai wan le 	來晚了	c=1 d=1 t=23724
lan 	懶	c=1 d=1 t=6868
lan 	瀾	c=1 d=1 t=25344
lan jie 	攔截	c=1 d=0.232655 t=3844
lan jie qi 	攔截器	c=4 d=1 t=29172
lan se 	藍色	c=2 d=1 t=25148
lan ya 	藍牙	c=6 d=2.67996 t=21480
lan yong 	濫用	c=1 d=1 t=24383
lang fei 	浪費	c=1 d=1 t=11461
lao 	老	c=17 d=1.0002 t=22447
lao gong 	老公	c=1 d=1 t=322
lao hua 	老化	c=1 d=1 t=24864
lao jia 	老家	c=4 d=1 t=7702
lao jiu 	老舊	c=1 d=1 t=4456
lao lao 	姥姥	c=1 d=1 t=13816
lao shi 	老師	c=5 d=1 t=27920
lao shu ju 	老數據	c=5 d=2.76104 t=7977
lao shuo 	老說	c=1 d=1 t=4303
le 	了	c=632 d=3.28488 t=29526
lei 	累	c=2 d=1 t=21771
lei 	雷	c=5 d=1 t=27886
lei 	類	c=17 d=0.1 t=28662
lei bo 	雷波	c=1 d=1 t=9711
lei jia 	累加	c=1 d=1 t=12891
lei si 	類似	c=2 d=1 t=27459
lei si yu 	類似於	c=3 d=2.71119 t=16759
lei xing 	類型	c=64 d=1.65113 t=27119
leng 	冷	c=3 d=1 t=29068
leng cang 	冷藏	c=1 d=1 t=18054
li 	李	c=2 d=1 t=14110
li 	理	c=1 d=1 t=20455
li 	立	c=4 d=1.37288 t=11206
li 	裏	c=70 d=1.00033 t=29173
li bai 	李白	c=4 d=1 t=19131
li cai 	理財	c=1 d=1 t=26004
li hai 	厲害	c=6 d=1 t=26077
li ji 	立即	c=2 d=1 t=16805
li jie 	理解	c=28 d=3.34882 t=29428
li jin 	禮金	c=1 d=1 t=4611
li ke 	立刻	c=1 d=1 t=13182
li li 	麗麗	c=4 d=2.11688 t=12097
li meng 	李猛	c=1 d=1 t=29275
li mi 	釐米	c=1 d=1 t=27241
li mian 	裏面	c=6 d=1 t=24309
li pu 	離譜	c=2 d=1 t=27244
li ru 	例如	c=3 d=1 t=25623
li shi 	歷史	c=11 d=1.00144 t=19608
li shu 	隸屬	c=1 d=1 t=6964
li shui qiao 	立水橋	c=2 d=1.95123 t=5372
li tang 	梨湯	c=2 d=1.97045 t=19126
li wai 	例外	c=2 d=1.55433 t=3964
li wu 	禮物	c=1 d=1 t=6394
li xiang 	理想	c=1 d=1 t=5363
li yong 	利用	c=3 d=2.18825 t=24596
li you 	理由	c=1 d=1 t=16872
li zi 	例子	c=12 d=1.00001 t=28244
li zi ke yi 	例子可以	c=1 d=1 t=12752
lia 	倆	c=2 d=1 t=23259
lia ren 	倆人	c=1 d=1 t=18774
lia xiao shi 	倆小時	c=1 d=1 t=6722
lian 	練	c=16 d=1 t=16549
lian 	聯	c=5 d=1.86624 t=1481
lian 	連	c=10 d=1.00017 t=27922
lian 	鏈	c=8 d=1.0266 t=16567
lian biao 	連表	c=4 d=1.95123 t=13950
lian biao 	鏈表	c=7 d=4.36211 t=29425
lian bu shang 	連不上	c=1 d=1 t=22221
lian che 	練車	c=1 d=1 t=4731
lian he 	聯合	c=3 d=1 t=29439
lian jie 	連接	c=7 d=1.15724 t=24977
lian jie 	鏈接	c=14 d=1 t=27964
lian jie qi 	鏈接器	c=1 d=1 t=23822
lian meng 	聯盟	c=3 d=1 t=24543
lian shi 	鏈式	c=1 d=1 t=15445
lian tiao 	聯調	c=8 d=1.86071 t=20051
lian tong 	聯通	c=5 d=3.97273 t=7362
lian tong 	連同	c=1 d=1 t=8965
lian tong 	連通	c=1 d=1 t=21381
lian xi 	練習	c=2 d=1 t=17430
lian xi 	聯繫	c=4 d=1 t=28318
lian xu 	連續	c=7 d=1.02922 t=26336
liang 	兩	c=2 d=1.9802 t=26058
liang 	涼	c=1 d=1 t=18059
liang 	量	c=15 d=1 t=27232
liang bian 	兩邊	c=1 d=1 t=12772
liang bu fen 	兩部分	c=1 d=1 t=6465
liang ce 	兩冊	c=1 d=1 t=9648
liang cha 	涼茶	c=4 d=1.70248 t=2577
liang ci 	兩次	c=2 d=0.1 t=23767
liang ge 	兩個	c=31 d=0.243139 t=27758
liang ge can shu 	兩個參數	c=1 d=1 t=18508
liang ge ri qi 	兩個日期	c=1 d=1 t=27759
liang hao 	良好	c=1 d=1 t=29459
liang jian 	兩間	c=1 d=1 t=4115
liang kuai 	涼快	c=6 d=1.99501 t=24513
liang kuai liang kuai 	涼快涼快	c=3 d=1.98511 t=24519
liang liang 	量量	c=0 d=0.1 t=464
liang liang ti wen 	量量體溫	c=1 d=1 t=465
liang ma shi 	兩碼事	c=1 d=1 t=11883
liang tai 	兩臺	c=1 d=1 t=22578
liang tian 	兩天	c=2 d=1 t=28203
liang tiao 	兩條	c=3 d=1.00042 t=25105
liang wei 	兩位	c=2 d=1.83629 t=18694
liang wei xiao shu 	兩位小鼠	c=1 d=1 t=18642
liang zhang 	兩張	c=0 d=0.1 t=19734
liang zhang biao 	兩張表	c=1 d=1 t=19735
liang zhe 	兩者	c=3 d=1.88692 t=25160
liang zhong 	兩種	c=6 d=1 t=25439
liang zhong fang shi 	兩種方式	c=1 d=1 t=10951
liao 	聊	c=22 d=2.40231 t=29290
liao jie 	瞭解	c=7 d=1.80654 t=28717
liao liao 	聊聊	c=13 d=1.53861 t=28903
liao liao ne 	聊聊呢	c=1 d=1 t=6758
liao liao tian 	聊聊天	c=1 d=1 t=3611
liao tian 	聊天	c=2 d=1 t=24575
liao yi xia 	聊一下	c=1 d=1 t=22238
lie 	列	c=7 d=1.00038 t=21531
lie biao 	列表	c=23 d=1 t=24492
lie shang 	列上	c=1 d=1 t=19553
lie wei 	列爲	c=1 d=1 t=3226
lin shi 	臨時	c=2 d=1.00155 t=24036
ling 	另	c=4 d=1.91393 t=16239
ling 	零	c=1 d=1 t=26826
ling 	領	c=11 d=1.09337 t=20778
ling 	齡	c=5 d=2.11178 t=1253
ling chen 	凌晨	c=1 d=1 t=7781
ling dao 	領導	c=6 d=1 t=16245
ling huo 	靈活	c=1 d=1 t=27067
ling qian 	零錢	c=1 d=1 t=24471
ling qu 	領取	c=8 d=1.98722 t=26345
ling que yun 	領卻雲	c=1 d=1 t=23242
ling ren 	令人	c=1 d=1 t=27101
ling wai 	另外	c=5 d=1 t=23197
ling yi ge 	另一個	c=3 d=1 t=23686
ling yi tai 	另一臺	c=1 d=1 t=24637
ling yu 	領域	c=2 d=1.00694 t=14469
ling zheng 	領證	c=1 d=1 t=4649
liu 	劉	c=3 d=1 t=18810
liu 	流	c=6 d=2.96536 t=19147
liu 	留	c=3 d=1 t=28345
liu cheng 	流程	c=9 d=1 t=28186
liu gan 	流感	c=1 d=1 t=18757
liu lan qi 	瀏覽器	c=14 d=1.97434 t=14511
liu li li 	劉麗麗	c=1 d=1 t=5994
liu liang 	流量	c=25 d=5.6199 t=26595
liu shi 	六十	c=1 d=1 t=29465
liu shi 	流式	c=1 d=1 t=28810
liu shui hao 	流水號	c=1 d=1 t=2748
liu shui xian 	流水線	c=1 d=1 t=29383
liu xia 	留下	c=3 d=1 t=27406
liu yang 	劉楊	c=2 d=1 t=27743
liu yi 	留意	c=1 d=1 t=3586
long 	龍	c=2 d=1.99005 t=4
long de 	龍德	c=1 d=1 t=28115
long ge 	龍哥	c=6 d=1 t=23843
lou 	樓	c=2 d=1 t=28489
lou niao 	漏尿	c=1 d=1 t=5177
lou xia 	樓下	c=2 d=1.95123 t=11705
lu 	盧	c=1 d=1 t=28633
lu 	路	c=5 d=2.70017 t=14831
lu 	錄	c=1 d=1 t=29481
lu jing 	路徑	c=3 d=1 t=20207
lu shang 	路上	c=2 d=1 t=24569
lu xian 	路線	c=1 d=1 t=14176
lu you 	路由	c=18 d=1.80916 t=28291
lu you xia 	路由下	c=1 d=1 t=21634
luan 	亂	c=3 d=1 t=22422
luan 	欒	c=1 d=1 t=14004
luan tiao 	亂跳	c=1 d=1 t=27880
lun 	輪	c=1 d=1 t=631
lun zhuang 	輪狀	c=2 d=1.65705 t=719
luo 	羅	c=1 d=1 t=27890
luo 	落	c=1 d=1 t=19157
luo ji 	羅技	c=7 d=1 t=27900
luo ji 	邏輯	c=29 d=1.29312 t=29034
luo ji shang 	邏輯上	c=1 d=1 t=24066
luo ji yun suan 	邏輯運算	c=1 d=1 t=25961
luo xuan gan jun 	螺旋桿菌	c=0 d=0.1 t=16040
lv 	率	c=2 d=1.83973 t=17951
lv xuan 	呂軒	c=5 d=1.94176 t=6789
lve 	略	c=1 d=1 t=20761
ma 	嗎	c=2 d=1.02887 t=15907
ma 	嘛	c=3 d=0.606617 t=28269
ma 	媽	c=7 d=2.14253 t=13973
ma 	碼	c=10 d=1.0949 t=29350
ma da 	馬達	c=3 d=1.04799 t=13239
ma fan 	麻煩	c=4 d=1 t=25457
ma ma 	媽媽	c=2 d=1.97531 t=2188
ma shang 	馬上	c=1 d=1 t=9249
mai 	買	c=64 d=1.81784 t=29122
mai 	賣	c=3 d=1 t=18601
mai cai 	買菜	c=1 d=1 t=4531
mai fang 	買房	c=2 d=1 t=7371
mai guo 	買過	c=1 d=1 t=21478
mai yao 	買藥	c=1 d=1 t=16004
man 	慢	c=6 d=0.104403 t=26194
man 	曼	c=3 d=1.98511 t=24693
man 	滿	c=6 d=1.8825 t=28472
man man 	慢慢	c=3 d=1 t=22680
man you 	漫遊	c=1 d=1 t=24296
man yue 	滿月	c=0 d=0.1 t=14848
man yue zhao 	滿月照	c=1 d=1 t=14849
mang 	忙	c=9 d=0.44305 t=23856
mang bu 	忙不	c=1 d=1 t=2616
mang bu guo lai 	忙不過來	c=1 d=1 t=13773
mang ren 	盲人	c=1 d=1 t=24878
mang wen 	盲文	c=1 d=1 t=24875
mang xian 	忙線	c=1 d=1 t=15380
mao 	毛	c=1 d=1 t=27162
mao 	貓	c=1 d=1 t=24531
mao si 	貌似	c=1 d=1 t=2595
mao tou ying 	貓頭鷹	c=1 d=1 t=24732
mao xian 	毛線	c=1 d=1 t=2543
me 	麼	c=213 d=2.50257 t=29572
mei 	妹	c=1 d=1 t=21281
mei 	每	c=6 d=1.99006 t=26378
mei 	沒	c=196 d=2.87107 t=29097
mei ban fa 	沒辦法	c=2 d=1 t=14071
mei bi yao 	沒必要	c=1 d=1 t=19537
mei bian 	沒變	c=3 d=1.98511 t=19780
mei chi 	沒喫	c=2 d=1 t=18595
mei chi fan 	沒喫飯	c=1 d=1 t=5127
mei chu qu 	沒出去	c=1 d=1 t=25129
mei ci 	每次	c=4 d=1.00027 t=16977
mei de 	妹的	c=1 d=1 t=10515
mei duo shao 	沒多少	c=1 d=1 t=4907
mei fa 	沒法	c=7 d=1.00573 t=9271
mei feng 	沒風	c=1 d=1 t=22834
mei gai 	沒改	c=2 d=1 t=22289
mei gai dong 	沒改動	c=1 d=1 t=6667
mei ge 	每個	c=17 d=1.16324 t=26655
mei ge ren 	每個人	c=1 d=1 t=1201
mei guan 	美觀	c=1 d=1 t=1112
mei guang 	鎂光	c=1 d=1 t=9703
mei hao 	美好	c=1 d=1 t=22433
mei hua 	美化	c=2 d=1.86936 t=1119
mei hui 	沒回	c=1 d=1 t=18846
mei jia 	沒加	c=1 d=1 t=19605
mei jian 	沒見	c=1 d=1 t=2719
mei jie 	媒介	c=2 d=1 t=26434
mei ju 	枚舉	c=5 d=1 t=23526
mei kan 	沒看	c=0 d=0.1 t=5711
mei kan dao 	沒看到	c=1 d=1 t=10188
mei li 	美麗	c=1 d=1 t=26089
mei ming bai 	沒明白	c=1 d=1 t=20385
mei ne 	沒呢	c=2 d=1 t=11689
mei rang wo 	沒讓我	c=1 d=1 t=11090
mei ren 	沒人	c=2 d=1.01434 t=5710
mei shen me 	沒什麼	c=1 d=1 t=6145
mei shi 	沒事	c=11 d=1 t=28118
mei shou dao 	沒收到	c=1 d=1 t=2730
mei shuo 	沒說	c=4 d=1 t=14130
mei shuo guo 	沒說過	c=1 d=1 t=526
mei tai 	每臺	c=1 d=1 t=25510
mei tian 	每天	c=3 d=1 t=21420
mei tiao 	每條	c=2 d=1.92774 t=28024
mei wen 	沒問	c=1 d=1 t=20316
mei wen ti 	沒問題	c=6 d=1 t=21974
mei xi 	沒戲	c=1 d=1 t=3814
mei xiang dao 	沒想到	c=6 d=1 t=16177
mei xie 	沒寫	c=1 d=1 t=18097
